name,city,team,number,position,height,weight,college,country,draft_year,draft_round,round_num
Moriah Jefferson,Chicago,Sun,4,G,5-6,130,Connecticut,USA,2016,1,2
Brionna Jones,Connecticut,Sun,42,F,6-3,215,Maryland,USA,2017,1,8
Haley Jones,Atlanta,Dream,13,F-G,6-1,187,Stanford,USA,2023,1,6
Jonquel Jones,New York,Liberty,35,C,6-6,215,George Washington,Bahamas,2016,1,6
Dorka Juhász,Minnesota,Lynx,14,F,6-5,191,Connecticut,Hungary,2023,2,16
Sika Koné,Washington,Lynx,3,F,6-3,180,Spain,Mali,2022,3,29
Betnijah Laney-Hamilton,New York,Liberty,44,G-F,6-0,166,Rutgers,USA,2015,2,17
Carla Leite,Golden State,Valkyries,0,G,5-9,null,Tarbes,France,2024,1,9
Lou Lopez Sénéchal,Dallas,Wings,8,G,6-1,155,Connecticut,Mexico,2023,1,5
Jewell Loyd,Seattle,Storm,24,G,5-11,175,Notre Dame,USA,2015,1,1
Marina Mabrey,Connecticut,Sky,4,G,5-11,170,Notre Dame,USA,2019,2,19
Natasha Mack,Phoenix,Mercury,4,F,6-3,182,Oklahoma State,USA,2021,2,16
Ezi Magbegor,Seattle,Storm,13,F-C,6-4,181,Melbourne,Australia,2019,1,12
Kate Martin,Golden State,Aces,0,G,6-0,172,Iowa,USA,2024,2,18
Kayla McBride,Minnesota,Lynx,21,G,5-11,179,Notre Dame,USA,2014,1,3
Teaira McCowan,Dallas,Wings,15,C,6-7,239,Mississippi State,USA,2019,1,3
Aari McDonald,Los Angeles,Sparks,15,G,5-6,141,Arizona,USA,2021,1,3
Jade Melbourne,Washington,Mystics,5,G,5-10,145,,Australia,2022,3,33
Diamond Miller,Minnesota,Lynx,1,F,6-3,179,Maryland,USA,2023,1,2
Kelsey Mitchell,Indiana,Fever,0,G,5-8,160,Ohio State,USA,2018,1,2
Tiffany Mitchell,Connecticut,Sun,3,G,5-9,169,South Carolina,USA,2016,1,9
Nika Mühl,Seattle,Storm,1,G,6-0,156,Connecticut,Croatia,2024,2,14
Astou Ndour-Fall,Connecticut,Sun,45,C-F,6-5,173,Gran Canaria,Spain,2014,2,16
Olivia Nelson-Ododa,Connecticut,Sun,10,C,6-5,176,Connecticut,USA,2022,2,19
Kia Nurse,Los Angeles,Sparks,10,G,6-0,181,Connecticut,Canada,2018,1,10
Arike Ogunbowale,Dallas,Wings,24,G,5-8,165,Notre Dame,USA,2019,1,5
Nneka Ogwumike,Seattle,Storm,3,F,6-2,190,Stanford,USA,2012,1,1
Michaela Onyenwere,Chicago,Sky,12,F,6-0,178,UCLA,USA,2021,1,6
Charisma Osborne,Phoenix,Mercury,24,G,5-9,166,UCLA,USA,2024,3,25
Cheyenne Parker-Tyus,Atlanta,Dream,32,F,6-4,193,Middle Tennessee,USA,2015,1,5
Alissa Pili,Minnesota,Lynx,35,F,6-2,235,Utah,USA,2024,1,8
Kelsey Plum,Las Vegas,Aces,10,G,5-8,145,Washington,USA,2017,1,1
Aerial Powers,Atlanta,Dream,23,G,5-11,170,Michigan State,USA,2016,1,5
Angel Reese,Chicago,Sky,5,F,6-3,165,Louisiana State,USA,2024,1,7
Iliana Rupert,Golden State,Valkyries,0,C,6-4,189,Tango Bourges,France,2021,1,12
Mercedes Russell,Seattle,Storm,21,C,6-6,195,Tennessee,USA,2018,2,22
