name,team,salary_2024,signing_status,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
Stephanie Soares,Wings,76535,--,22,3,175,24,10,34,0.294,8,22,0.364,2,12,0.16699999999999998,2,2,1,18,29,47,10,12,2,8,18
Laeticia Amihere,Dream,72727,--,16,0,83,19,7,26,0.26899999999999996,7,26,0.26899999999999996,0,0,NA,5,17,0.294,12,15,27,3,8,2,3,7
Kierstan Bell,Aces,74398,Rookie,6,0,43,17,6,16,0.375,2,8,0.25,4,8,0.5,1,2,0.5,1,5,6,5,1,0,0,5
Victaria Saxton,Fever,64154,--,9,0,23,8,3,9,0.33299999999999996,2,5,0.4,1,4,0.25,1,2,0.5,0,3,3,0,1,0,0,4
Nika Mühl,Storm,67249,--,16,0,57,2,1,14,0.071,1,3,0.33299999999999996,0,11,0,0,0,NA,6,4,10,7,4,2,0,9
Charisma Osborne,Mercury,45098,UFA,2,0,10,2,1,2,0.5,1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,2,0,0,1
Crystal Dangerfield,Sparks,73566,NA,33,5,440,106,37,131,0.282,20,69,0.29,17,62,0.27399999999999997,15,17,0.882,2,32,34,62,26,11,6,25
Kiana Williams,NA,41287,NA,13,0,45,11,4,16,0.25,1,7,0.14300000000000002,3,9,0.33299999999999996,0,0,NA,0,2,2,5,2,0,0,3
Monique Billings,Wings,60243,NA,37,14,843,274,107,230,0.465,104,216,0.481,3,14,0.214,57,71,0.8029999999999999,65,148,213,53,65,27,19,84
Odyssey Sims,Wings,38835,NA,24,17,700,302,117,242,0.483,97,184,0.527,20,58,0.345,48,63,0.762,17,34,51,127,52,28,5,36
Queen Egbo,Sparks,36200,NA,8,0,29,12,5,12,0.417,5,12,0.417,0,0,NA,2,2,1,3,7,10,0,0,3,1,4
Victoria Vivians,Storm,161535,NA,35,15,445,110,41,123,0.33299999999999996,19,54,0.35200000000000004,22,69,0.319,6,9,0.667,19,50,69,29,20,13,7,42
